country,country_id,min_year,max_year,long,lat,writer_total_year,writer_total_cumulative,writer_1,writer_1_gender,writer_1_birth,writer_1_popup,writer_1_language_1,writer_1_language_2,writer_1_language_3,writer_1_language_4,writer_1_languages,writer_1_role_1,writer_1_role_2,writer_1_role_3,writer_1_role_4,writer_1_role_5,writer_2,writer_2_gender,writer_2_birth,writer_2_popup,writer_2_language_1,writer_2_language_2,writer_2_language_3,writer_2_language_4,writer_2_languages,writer_2_role_1,writer_2_role_2,writer_2_role_3,writer_2_role_4,writer_2_role_5,writer_3,writer_3_gender,writer_3_birth,writer_3_popup,writer_3_language_1,writer_3_language_2,writer_3_language_3,writer_3_language_4,writer_3_languages,writer_3_role_1,writer_3_role_2,writer_3_role_3,writer_3_role_4,writer_3_role_5,writer_4,writer_4_gender,writer_4_birth,writer_4_popup,writer_4_language_1,writer_4_language_2,writer_4_language_3,writer_4_language_4,writer_4_languages,writer_4_role_1,writer_4_role_2,writer_4_role_3,writer_4_role_4,writer_4_role_5,writer_5,writer_5_gender,writer_5_birth,writer_5_popup,writer_5_language_1,writer_5_language_2,writer_5_language_3,writer_5_language_4,writer_5_languages,writer_5_role_1,writer_5_role_2,writer_5_role_3,writer_5_role_4,writer_5_role_5,popup_year,subregion,region_un,monolingual_writer_total_year,multilingual_writer_total_year,monolingual_writer_total_cumulative,multilingual_writer_total_cumulative,writerPop
Algeria,2030,2017,2017,2.617323009,28.15893849,1,2,Hajar BALI,Female,1961,Hajar BALI  (2017)<br />,Arabic,French,#N/A,#N/A,2,fiction writer,playwright,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Algeria&nbsp;(1)</b><hr />Hajar BALI  (2017)<br />,Northern Africa,Africa,0,1,0,2,
Algeria,2030,2018,2018,2.617323009,28.15893849,1,3,Salah BADIS,Male,1994,Salah BADIS  (2018)<br />,Arabic,#N/A,#N/A,#N/A,1,journalist,poet,translator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Algeria&nbsp;(1)</b><hr />Salah BADIS  (2018)<br />,Northern Africa,Africa,1,0,1,2,
Algeria,2030,2019,2020,2.617323009,28.15893849,1,4,Amira-Gehanne KHALFALLAH,Female,1975,Amira-Gehanne KHALFALLAH  (2019)<br />,French,#N/A,#N/A,#N/A,1,fiction writer,non-fiction writer,drama,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Algeria&nbsp;(1)</b><hr />Amira-Gehanne KHALFALLAH  (2019)<br />,Northern Africa,Africa,1,0,2,2,
Algeria,2030,2021,2021,2.617323009,28.15893849,1,5,Habib TENGOUR,Male,1947,Habib TENGOUR  (2021)<br />,Arabic,English,#N/A,#N/A,2,poet,essayist,playwright,translator,editor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Algeria&nbsp;(1)</b><hr />Habib TENGOUR  (2021)<br />,Northern Africa,Africa,0,1,2,3,
Argentina,1955,1967,1967,-65.17980693,-35.3813488,1,1,Elizabeth Azcona CRANWELL ,Female,\N,Elizabeth Azcona CRANWELL (1967)<br />,Spanish,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Elizabeth Azcona CRANWELL (1967)<br />,South America,The Americas,1,0,1,0,
Argentina,1955,1968,1968,-65.17980693,-35.3813488,3,3,Alfredo VEIRAVÉ,Male,1928,Alfredo VEIRAVÉ (1968)<br />,Spanish,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,Elizabeth Azcona CRANWELL ,Female,\N,Elizabeth Azcona CRANWELL (1968)<br />,Spanish,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,Susana TASCA ,Female,\N,Susana TASCA (1968)<br />,Spanish,#N/A,#N/A,#N/A,1,non-fiction writer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(3)</b><hr />Alfredo VEIRAVÉ (1968)<br />Elizabeth Azcona CRANWELL (1968)<br />Susana TASCA (1968)<br />,South America,The Americas,3,0,3,0,
Argentina,1955,1969,1969,-65.17980693,-35.3813488,1,4,Luisa VALENZUELA ,Female,1937,Luisa VALENZUELA (1969)<br />,Spanish,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Luisa VALENZUELA (1969)<br />,South America,The Americas,1,0,4,0,
Argentina,1955,1970,1970,-65.17980693,-35.3813488,1,5,Héctor LIBERTELLA,Male,1945,Héctor LIBERTELLA (1970)<br />,Spanish,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Héctor LIBERTELLA (1970)<br />,South America,The Americas,1,0,5,0,
Argentina,1955,1971,1971,-65.17980693,-35.3813488,1,6,Luisa FUTORANSKY ,Female,1939,Luisa FUTORANSKY (1971)<br />,Spanish,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Luisa FUTORANSKY (1971)<br />,South America,The Americas,1,0,6,0,
Argentina,1955,1972,1972,-65.17980693,-35.3813488,1,7,Ricardo Rey BECKFORD ,Male,1933,Ricardo Rey BECKFORD (1972)<br />,Spanish,#N/A,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Ricardo Rey BECKFORD (1972)<br />,South America,The Americas,1,0,7,0,
Argentina,1955,1973,1973,-65.17980693,-35.3813488,2,8,Ricardo Rey BECKFORD ,Male,1933,Ricardo Rey BECKFORD (1973)<br />,Spanish,#N/A,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,#N/A,Alicia Dellapiane RAWSON ,Female,1938,Alicia Dellapiane RAWSON (1973)<br />,Spanish,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(2)</b><hr />Ricardo Rey BECKFORD (1973)<br />Alicia Dellapiane RAWSON (1973)<br />,South America,The Americas,2,0,8,0,
Argentina,1955,1974,1974,-65.17980693,-35.3813488,1,9,Alberto O. BLASI ,Male,1931,Alberto O. BLASI (1974)<br />,Italian,#N/A,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Alberto O. BLASI (1974)<br />,South America,The Americas,1,0,9,0,
Argentina,1955,1975,1975,-65.17980693,-35.3813488,2,10,Alberto O. BLASI ,Male,1931,Alberto O. BLASI (1975)<br />,Italian,#N/A,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,#N/A,Leonardo IRAMAIN ,Male,1937,Leonardo IRAMAIN (1975)<br />,Spanish,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(2)</b><hr />Alberto O. BLASI (1975)<br />Leonardo IRAMAIN (1975)<br />,South America,The Americas,2,0,10,0,
Argentina,1955,1976,1976,-65.17980693,-35.3813488,1,11,Oscar Hermes VILLORDO ,Male,1928,Oscar Hermes VILLORDO (1976)<br />,Spanish,#N/A,#N/A,#N/A,1,fiction writer,poet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Oscar Hermes VILLORDO (1976)<br />,South America,The Americas,1,0,11,0,
Argentina,1955,1977,1977,-65.17980693,-35.3813488,1,12,Patricio ESTEVE ,Male,1933,Patricio ESTEVE (1977)<br />,Spanish,#N/A,#N/A,#N/A,1,playwright,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Patricio ESTEVE (1977)<br />,South America,The Americas,1,0,12,0,
Argentina,1955,1978,1978,-65.17980693,-35.3813488,2,13,Leonardo IRAMAIN ,Male,1937,Leonardo IRAMAIN (1978)<br />,Spanish,#N/A,#N/A,#N/A,1,poet,#N/A,#N/A,#N/A,#N/A,Juan Carlos Real,Male,1940,Juan Carlos Real (1978)<br />,Spanish,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(2)</b><hr />Leonardo IRAMAIN (1978)<br />Juan Carlos Real (1978)<br />,South America,The Americas,2,0,13,0,
Argentina,1955,1979,1979,-65.17980693,-35.3813488,1,14,Rodolfo RABANAL ,Male,1941,Rodolfo RABANAL (1979)<br />,Spanish,#N/A,#N/A,#N/A,1,fiction writer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,<b>Argentina&nbsp;(1)</b><hr />Rodolfo RABANAL (1979)<br />,South America,The Americas,1,0,14,0,
